“Term”,”google.trend.diff.2017.2013”,”google.trend.diff.2014.2013”,”google.trend.diff.2015.2013”,”google.trend.diff.2016.2013”,”diff"
"QA",7.05448717948717,3.61538461538461,7,5.90384615384615,-0.00911924623466786
"Devops",75.7275641025641,8.61538461538462,25.4807692307692,50.2115384615385,0.071800101358766
"Go",-24.5448717948718,4.86538461538461,-9.26923076923077,-14.9615384615385,0.0453922169189906
"C",-10.0448717948718,-2.17307692307693,-4.80769230769231,-8.30769230769231,-0.395548882937466
"Java",-27.5673076923077,-2.98076923076923,-12.7884615384615,-23.8269230769231,-0.118241764906577
"Python",31.8621794871795,3.30769230769231,8.55769230769231,18.1538461538462,0.0617149194600101
"UX",22.6570512820513,-2.21153846153847,6.63461538461538,14.2884615384615,-0.000996546481091057
"JSON",38.6282051282051,9.30769230769231,19.1346153846154,28.7307692307692,0.00081002266354235
"WordPress",-9.94230769230769,11.9423076923077,-4.67307692307693,-9.05769230769231,-0.00163410506524785
"SQL",-9.51923076923077,-3.03846153846155,-6.63461538461539,-10.2692307692308,-0.412768856117775
"Apache",0.90384615384616,0.32692307692308,-0.653846153846146,-0.884615384615373,-0.0217248684860567
"LAMP",7.31089743589744,2.26923076923077,5.36538461538461,10.4423076923077,-0.0189553451178172
"AJAX",-1.7275641025641,-4.63461538461538,-7.19230769230769,-8.71153846153846,-0.0494025708900013
"Ruby",-16.5448717948718,-5.57692307692308,-6.84615384615385,-10.9038461538462,-0.0340231266866644
"Net",-11.8878205128205,-5.69230769230768,-9.36538461538461,-10.7692307692308,-0.682692334690995
"JavaScript",-4.80769230769231,-2.86538461538461,-4.98076923076923,-6.42307692307692,-0.0812205445549988
"Android",-18.1955128205128,1.28846153846153,-5.42307692307693,-12.0769230769231,-0.0230590631017283
"Swift",34.0705128205128,11.5,23.9615384615385,32.1730769230769,-0.00141745032008878
"php",-18.5384615384615,-7.15384615384615,-13.5576923076923,-18.0769230769231,-0.12251499616063
"AngularJS",48.8237179487179,41.2884615384615,63.6153846153846,63.8269230769231,0.0209062486550972
"Linux",-12.0641025641026,-4.65384615384615,-10.4230769230769,-11.8461538461538,-0.0604526776219969
"AWS",68.1378205128205,7.86538461538462,21.4423076923077,43.3269230769231,0.0889101492369223
"HTML",-15.3269230769231,-5.30769230769231,-10.9230769230769,-15.4230769230769,-0.148750906620825
"Git",38.4807692307692,10.2692307692308,19.7307692307692,28.8269230769231,0.0242817191700548
"API",6.01282051282051,-4.88461538461539,-5,-1.48076923076924,0.0149434902161529
"MongoDB",22.2051282051282,12.8076923076923,17.6730769230769,17.6153846153846,0.002151170570201
"Jenkins",34.7275641025641,8,14.9807692307692,25.2692307692308,0.0245874189235805
"R",34.0961538461538,9.78846153846154,18.6730769230769,25.0769230769231,-0.0147274787269882
"Shell",-6.93589743589745,-3.17307692307693,-6.76923076923077,-7.90384615384616,-0.0118778546718279
"Scala",19.2884615384615,2.42307692307692,9.57692307692307,15.4615384615385,0.00728123922961007
"Objective",-28.9871794871795,-7.05769230769231,-19.5,-25.2115384615385,-0.015236763897533
"XML",-20.6057692307692,-7.92307692307692,-14.6153846153846,-19.8076923076923,-0.0819105948703806
"microsoft",-29.7435897435897,-8.57692307692308,-16.3461538461538,-26.1730769230769,0.14714604417729
"spark",59.2019230769231,9.05769230769231,33.5384615384615,51.25,0.00710496666632121
"azure",37.9903846153846,9.34615384615385,18.4230769230769,24.4423076923077,0.0695953057015403
"salesforce",39.3653846153846,12.9230769230769,24,30.7884615384615,0.0266022090125576
"jira",41.25,10.9423076923077,21.3653846153846,31.3461538461538,0.0134806852432531
"cloud",38.7083333333333,6.5,12.9230769230769,24.6538461538462,0.12311320381459
"cassandra",28.9583333333333,12.0961538461538,22.0192307692308,28.1538461538462,0.00277879442288884
"UI",-18.5416666666667,-6.65384615384616,-12.1923076923077,-18.5576923076923,-0.0131263124528183
